pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.7224042	0.5209030	0.8362410	0.0853579	0.6021047	0.3456165	0.5664191	0.5066519	0.6820041	0.7264635	0.6858759	0.7527622	0.4327812	0.6102745	0.6192650	0.2983238	0.7044906	0.1059199	0.6744982	0.6777202	0.6892724	0.4560260	0.6301483	0.6622754	0.4068253	0.5559998	0.5970504	0.3179829	0.1893037	0.0720879	0.3599671	0.6524319	0.6016194	0.6349070	0.4883958	0.3508905	0.7424406	0.4028292	0.7757144	0.4335622	0.4589539	0.6808238	0.7238146	0.7030462	0.4160195	0.7797908	0.5691721	0.3116208	0.1760092	0.0584059
0.7021183	0.2914741	0.3659665	0.1954346	0.6885455	0.4015269	0.6868724	0.3591059	0.6916359	0.6003769	0.5298145	0.5863206	0.2257449	0.7093580	0.5973377	0.3848507	0.6099026	0.1257929	0.7086649	0.5713151	0.6835111	0.0689623	0.4885645	0.5807605	0.4903311	0.5362712	0.7035718	0.1479630	0.8398177	0.0982254	0.2988492	0.6980140	0.4950680	0.3846265	0.4254558	0.3265420	0.6443524	0.2607497	0.7593468	0.1827625	0.3451652	0.6360993	0.7019680	0.7739117	0.5719449	0.8357515	0.4953254	0.2493975	0.4314824	0.1139611
0.6989773	0.2666255	0.5055564	0.1143160	0.6195266	0.5377914	0.6527132	0.4599743	0.7345165	0.6058974	0.6251708	0.6683609	0.3622465	0.6511270	0.5080675	0.3128600	0.6646002	0.1015488	0.6971733	0.5726300	0.6631509	0.3059788	0.5701530	0.5723029	0.5393368	0.5818674	0.7354384	0.3261388	0.7995498	0.1214130	0.5118856	0.5674439	0.6126487	0.5503989	0.5094735	0.4931918	0.7579118	0.3288514	0.6762007	0.4633915	0.4130544	0.8036226	0.7011282	0.7285714	0.4695192	0.6909508	0.5316902	0.1108396	0.1861872	0.2553526
0.7033267	0.4089588	0.6472186	0.1726618	0.6936693	0.3417517	0.6416667	0.5323181	0.6287078	0.6598450	0.7025334	0.5445917	0.4054432	0.6161476	0.4984472	0.4201997	0.6459597	0.0604184	0.7362572	0.6470481	0.6227475	0.2941492	0.5509757	0.5122207	0.6033961	0.5621807	0.7376716	0.3775780	0.7132433	0.0948639	0.4243999	0.6167338	0.7008983	0.6960392	0.5884371	0.5295226	0.6825698	0.3261150	0.6612309	0.5189162	0.4863323	0.6270632	0.6531892	0.6654929	0.3723272	0.7191275	0.6387691	0.3026957	0.1892370	0.1701258
0.6417439	0.3645952	0.7420676	0.1038371	0.6263671	0.4418252	0.6269930	0.5072711	0.6896933	0.6946608	0.7927010	0.7454358	0.5762895	0.7298791	0.6366866	0.3058552	0.6112937	0.1064531	0.5692767	0.6489566	0.6832583	0.3265152	0.6991472	0.4755033	0.4444794	0.6858483	0.6583885	0.3479089	0.6490862	0.0645878	0.3568300	0.6460721	0.6468821	0.4772735	0.4337357	0.4498713	0.6218424	0.4532362	0.7366929	0.3593906	0.5172109	0.6099618	0.6725003	0.6887102	0.4163083	0.7395889	0.5155875	0.1937350	0.3664636	0.0886521
0.5842651	0.3267515	0.6523591	0.0686648	0.7843827	0.4462589	0.7025307	0.3677922	0.7756589	0.6948277	0.7986315	0.7331704	0.3780211	0.7159186	0.5472884	0.4336113	0.7497739	0.1079356	0.6289568	0.7024965	0.6493142	0.3478859	0.6617259	0.5925899	0.6319462	0.5699611	0.6713549	0.5980069	0.4253061	0.0063342	0.3271002	0.6261189	0.5027624	0.6111640	0.5486839	0.5054493	0.7046821	0.2386066	0.6487313	0.3829091	0.6027888	0.7859353	0.6917609	0.7566093	0.5886767	0.7087297	0.5664776	0.2494286	0.3038134	0.2218208
0.7426048	0.4350452	0.6938094	0.1730864	0.6099024	0.3505262	0.5759114	0.3774894	0.6739013	0.6484000	0.8769289	0.6561919	0.3893742	0.6262280	0.5030800	0.5215045	0.6408126	0.0800864	0.7028998	0.6258063	0.6212913	0.4178984	0.8157815	0.6004457	0.5346594	0.6385389	0.6789127	0.3500565	0.6432997	0.0616662	0.4163200	0.6655856	0.6558516	0.5518561	0.5045398	0.4738044	0.7109242	0.4869472	0.7094331	0.5513785	0.5046851	0.5875918	0.6670011	0.6221924	0.3956203	0.7962045	0.4778303	0.2699574	0.3548913	0.0938833
0.7592227	0.2839826	0.7988882	0.1231750	0.6334361	0.3781657	0.7476864	0.5325063	0.6269545	0.6769058	0.6530439	0.6212515	0.4498431	0.5273035	0.5463520	0.3845390	0.7541197	0.1205403	0.6251029	0.8078660	0.6554616	0.4113229	0.6682288	0.6610189	0.5173700	0.6341988	0.5746012	0.5480797	0.7379338	0.0826186	0.5143625	0.7613047	0.5895459	0.5383694	0.5590740	0.5721297	0.5412147	0.3104359	0.7388311	0.3790557	0.5591645	0.7224646	0.7865755	0.6814299	0.5662999	0.7558527	0.5556242	0.2865275	0.4066395	0.1962063
0.7007163	0.3787141	0.6470044	0.1022225	0.7786050	0.3140822	0.6552774	0.4803641	0.7424457	0.7600090	0.7137302	0.6536816	0.6153912	0.7687638	0.6258448	0.4302895	0.7546893	0.0503172	0.7043617	0.7402407	0.7247150	0.3542226	0.8314663	0.4842460	0.4252088	0.6261016	0.6962791	0.4032709	0.6197703	0.0152592	0.4016231	0.7257283	0.5348195	0.5567925	0.4837499	0.5107165	0.6378531	0.4506069	0.6659998	0.3522226	0.6267214	0.6402873	0.8008523	0.7329691	0.5514374	0.5969707	0.5425168	0.2303914	0.3429514	0.1778124
0.6662436	0.4232292	0.7271815	0.0977467	0.6705691	0.3666004	0.5633720	0.4752881	0.7478970	0.7068950	0.6751900	0.6628241	0.3733622	0.6837814	0.5644146	0.5888748	0.7965027	0.0569124	0.5298619	0.7522190	0.6987422	0.4143534	0.7622297	0.5127233	0.5600932	0.6912983	0.6759681	0.4622115	0.6598417	0.0850237	0.5012176	0.6474100	0.8601941	0.5867390	0.4565141	0.4656179	0.5572099	0.4854573	0.7986496	0.5971967	0.5815243	0.7162868	0.6703327	0.6420478	0.4863287	0.6676594	0.5007235	0.3189996	0.4033831	0.1891063
