pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.8438960	0.4317182	0.8082915	0.1124718	0.6486729	0.3960075	0.7322275	0.4348447	0.5914223	0.6954849	0.6096297	0.7301571	0.4591770	0.7937486	0.6061107	0.4805676	0.7487269	0.0933490	0.8350539	0.6330441	0.6412872	0.4501898	0.6847915	0.5762384	0.4842942	0.5863482	0.5509330	0.4323358	0.6926670	0.0839081	0.0000000	0.6454535	0.5917105	0.6234857	0.7152906	0.5143862	0.6968423	0.4173707	0.6181851	0.5252764	0.6189437	0.7302717	0.6104563	0.7975722	0.3716485	0.6842555	0.4654494	0.2945818	0.3840409	0.1761167
0.6971599	0.4465728	0.6677938	0.1668190	0.6232272	0.2985339	0.5980096	0.5363038	0.6467296	0.6728309	0.6482436	0.6694648	0.4856269	0.6378326	0.5946977	0.4344782	0.6195987	0.0959956	0.7369488	0.6647052	0.5510382	0.4852170	0.7246567	0.4978261	0.4002192	0.6092456	0.7049156	0.3133792	0.6247479	0.0717266	0.3759768	0.0000000	0.6853071	0.5598111	0.7118674	0.4465432	0.6489932	0.3571635	0.5904259	0.4113629	0.4593078	0.6053428	0.6116026	0.7043845	0.5188794	0.7009778	0.4803174	0.2768378	0.3738968	0.2107129
0.7174242	0.3735986	0.8059669	0.1916894	0.7670753	0.2782518	0.7955768	0.6763058	0.5889608	0.6762349	0.6957324	0.5997230	0.6354232	0.6352646	0.5727045	0.5387964	0.7596427	0.0797457	0.7413723	0.6740576	0.7553743	0.5030317	0.5658640	0.5523398	0.6506607	0.7638278	0.7501440	0.3147361	0.7427061	0.0635769	0.4364567	0.5891247	0.0000000	0.4927221	0.5479959	0.5070928	0.7216227	0.4961221	0.7360679	0.5382611	0.5429629	0.7015155	0.7189400	0.4729005	0.6263928	0.6901870	0.5543839	0.2267873	0.4173542	0.1695950
0.6439901	0.4193573	0.7013952	0.1451559	0.6481463	0.3611010	0.6343147	0.5938365	0.8280262	0.7375596	0.7577434	0.5451668	0.4789247	0.6133094	0.4134839	0.5215162	0.7707000	0.1138617	0.6489479	0.7173268	0.6099505	0.3104166	0.7661355	0.5499343	0.4225640	0.7084455	0.6926503	0.4123619	0.8991818	0.0956416	0.3538907	0.5809465	0.6530451	0.0000000	0.5154444	0.3820258	0.6190377	0.3248608	0.7473962	0.3480431	0.6203244	0.7825676	0.7640537	0.7479918	0.3352929	0.7742989	0.5436785	0.3360294	0.4167278	0.1523982
0.5489478	0.4902442	0.8626965	0.1712059	0.7685965	0.4273716	0.6452437	0.5275999	0.7043431	0.7195001	0.7277990	0.7427110	0.4859513	0.7227950	0.6258408	0.4863935	0.6024024	0.0861566	0.5907860	0.7179937	0.8540708	0.5136711	0.5917839	0.5783834	0.5188359	0.5653198	0.6882879	0.4604183	0.6296832	0.0786091	0.4761485	0.6490386	0.6086305	0.5494549	0.0000000	0.3808702	0.6593243	0.3328973	0.7247547	0.5442084	0.6008050	0.6783412	0.5745942	0.7002659	0.5038865	0.6819731	0.5884641	0.2337553	0.4354067	0.1805927
0.7963181	0.3427733	0.6949309	0.2417118	0.6497734	0.4295173	0.7494757	0.4867371	0.6743605	0.6376866	0.6747223	0.7644431	0.4341464	0.7862519	0.5563629	0.4515629	0.8165798	0.0728638	0.6815316	0.5649252	0.6879279	0.5253295	0.5308201	0.4945624	0.4464440	0.5649923	0.7640105	0.4669763	0.7232679	0.0675196	0.4049854	0.6974946	0.6483727	0.5316044	0.6284823	0.0010213	0.6519282	0.4034703	0.6561868	0.4371948	0.5835147	0.6829928	0.7463105	0.6840861	0.4862353	0.6777353	0.4355321	0.3064225	0.4613860	0.1612080
0.6983446	0.3769426	0.6211616	0.1734350	0.7027555	0.3569855	0.5836085	0.5489136	0.7043907	0.5859114	0.7197766	0.5758829	0.3922395	0.7061515	0.6116031	0.6711956	0.8464801	0.1037610	0.5479043	0.6080329	0.6598499	0.3782790	0.6554783	0.4876842	0.3937975	0.6777111	0.6717046	0.3182740	0.5976771	0.1104306	0.3722832	0.6297856	0.6198655	0.6184612	0.5259784	0.4638808	0.0000000	0.3749511	0.7385279	0.4663218	0.5495387	0.7460219	0.7923038	0.6538255	0.5451703	0.7957092	0.4988123	0.2841801	0.4517524	0.2445799
0.7133564	0.4037934	0.7059235	0.1502454	0.6310795	0.3959756	0.6312214	0.5727641	0.7569399	0.8044430	0.7040299	0.6916328	0.5421432	0.7177670	0.6743292	0.5501758	0.6818351	0.0903856	0.6983634	0.7042588	0.7642506	0.3647878	0.6802953	0.5261666	0.6980195	0.6365147	0.6568702	0.4138340	0.7321586	0.0493929	0.3788867	0.6431829	0.6351705	0.6771788	0.6595520	0.3912901	0.6129743	0.0000000	0.6938474	0.5385661	0.5963010	0.6613748	0.7114142	0.6624630	0.5255763	0.6244244	0.4935685	0.3960350	0.4464435	0.2105846
0.6617501	0.3578624	0.7615776	0.1665814	0.7054112	0.5154479	0.6459898	0.5691252	0.7718227	0.7315224	0.6547965	0.6115579	0.3943388	0.8057431	0.6157996	0.5292194	0.6899231	0.0897516	0.8348358	0.6332379	0.6499943	0.3836503	0.6024652	0.4348313	0.3442534	0.6245565	0.7599033	0.3887611	0.7245166	0.0703695	0.4284359	0.7550031	0.5859484	0.5502765	0.6162648	0.5882122	0.8147049	0.4384461	0.0000000	0.4563983	0.4816507	0.6448629	0.7546664	0.6872216	0.5055253	0.6731033	0.5577072	0.3757316	0.4549152	0.2562438
0.7751037	0.3418249	0.6849451	0.1088144	0.6989768	0.3466685	0.6322143	0.4926012	0.9361806	0.7507918	0.6577238	0.7073340	0.4926610	0.7065945	0.6845465	0.5205983	0.8706168	0.1362908	0.6150104	0.5877987	0.6588552	0.3992784	0.5818524	0.4916591	0.5093261	0.6762137	0.7563261	0.5441333	0.6809856	0.0732618	0.3215011	0.6514821	0.7363156	0.6135134	0.5222976	0.4675919	0.7627519	0.3811910	0.6814636	0.0000000	0.5649044	0.6158545	0.7212354	0.6653954	0.5195538	0.5958115	0.4969686	0.3047134	0.3522671	0.1822298
