pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.9118796	0.5434474	1.0139751	0.2220188	0.9121608	0.5650324	0.9786786	0.7370953	1.1170793	0.9838942	1.0260867	1.0138455	0.6387240	0.9801411	0.8185915	0.6230725	0.8808622	0.1594559	1.0010965	0.9876940	0.4517819	0.4956550	0.8843274	0.7307985	0.7475413	0.9255739	0.9604654	0.6079888	0.9842911	0.1276430	0.6550459	1.0339512	0.9287776	0.7376971	0.8272072	0.6512838	1.1103965	0.6501167	0.9343035	0.6530464	0.8309497	1.0104420	0.9151304	0.9590675	0.6990767	1.0152214	0.6514661	0.4541394	0.5435979	0.3426229
0.9972832	0.6062125	1.0613156	0.2146665	1.0075963	0.6225338	0.8671869	0.7798811	1.0771900	1.0650104	0.9763161	0.9228908	0.6479766	1.0028706	0.8582265	0.5826231	0.9551602	0.1616196	0.9218402	0.9877262	0.9954386	0.2817058	0.9443250	0.8062303	0.6807680	0.9556973	1.0443578	0.5571398	0.8634315	0.0804361	0.6343158	0.9326809	0.9561054	0.8490540	0.8074522	0.6842256	1.0612069	0.5883046	0.9362064	0.6065594	0.8071121	1.0805465	0.8996137	1.0332179	0.6004093	1.0145237	0.7156983	0.4224426	0.5570325	0.2417466
1.0046571	0.5234088	1.0855560	0.2242726	0.9405484	0.5677472	0.9046500	0.7708550	0.9752572	0.9944081	1.0409773	0.9083003	0.7406167	1.1089364	0.8624144	0.6672194	0.9036402	0.1581447	1.0745528	1.0402644	0.9583292	0.5556876	0.4974714	0.7806289	0.7552078	0.9107507	0.9544512	0.6574877	1.0688383	0.1075659	0.6806105	1.0778527	1.0437294	0.8056437	0.8797893	0.7054868	1.0356353	0.6263580	1.0223182	0.6031496	0.8472322	0.9760080	0.9990038	0.9781515	0.6921843	0.9409126	0.7409113	0.3829746	0.6011838	0.3457366
0.9978618	0.5709107	0.9793908	0.2108821	0.9661155	0.5608710	0.9100176	0.7825714	1.0393850	0.8971928	0.9833720	0.9320715	0.7256498	1.0501235	0.7941487	0.6766136	1.0060729	0.1574203	0.9545672	0.9867145	1.0081274	0.5626168	0.9008134	0.3311774	0.7662930	0.9612134	0.9958592	0.5261500	1.0016007	0.1123976	0.7290713	0.9806766	1.0767766	0.8634466	0.8318695	0.7111286	1.0201589	0.5665371	0.9175916	0.6250694	0.7682438	0.9944510	1.0685897	0.9656581	0.8731158	1.0251750	0.8094203	0.4174073	0.5006365	0.2731214
1.1158354	0.4928508	1.0098062	0.1934338	1.0094169	0.5123517	0.8104243	0.5890579	0.8984402	1.0186474	1.0518273	0.9421701	0.6587477	0.9920328	0.8379417	0.7353469	1.0805416	0.1223083	0.9731509	0.9630840	1.0682514	0.6245820	0.8991969	0.8872322	0.3775075	1.0049175	0.9032242	0.5351739	1.0077545	0.1052476	0.6365979	0.9417868	0.8824075	0.8287369	0.8381667	0.8541831	0.9358884	0.5776524	1.0448998	0.5993411	0.7564740	0.9859270	1.0179947	0.9989229	0.7308007	1.1027578	0.7685726	0.3710935	0.6341580	0.3133580
0.9443799	0.5897202	0.9425650	0.1717420	0.9738050	0.5903855	0.9835438	0.7285091	0.9773540	1.0469934	0.9335187	0.8866659	0.7056777	0.8709225	0.7325590	0.6164943	0.9703310	0.1593849	1.1150538	0.8672624	1.0283391	0.5964292	0.8759146	0.7143695	0.7022831	0.4756990	0.9900430	0.5396075	0.9143401	0.0970388	0.6934542	0.8721926	0.8844160	0.8683296	0.8748977	0.6634005	1.0793413	0.5653356	1.0269291	0.6590412	0.7715436	1.0209396	0.9488510	0.9679000	0.7018915	0.9566829	0.7774712	0.3917485	0.6606691	0.2707801
0.9226056	0.4532543	0.9300967	0.2393377	1.0256603	0.5669143	0.8772563	0.7138335	0.9597391	1.0613871	1.0552021	0.9431563	0.6358499	0.9516224	0.8569479	0.6715400	1.0162873	0.1886175	1.0612828	0.9611068	0.9739742	0.4743387	0.9453905	0.7906336	0.7837537	0.9056212	0.4582399	0.5803513	0.9343846	0.1549617	0.5087819	0.9691210	0.9789190	0.7464676	0.8970571	0.6860927	1.0788731	0.5260327	1.0021757	0.5774213	0.7014436	0.9649170	1.0546953	1.0254647	0.7321527	1.0519983	0.7453405	0.4386420	0.5249568	0.3226547
1.0730184	0.5295193	1.0130871	0.2119757	1.0369553	0.5300385	0.9044936	0.7197353	0.9186640	1.0294570	1.0446185	0.8770125	0.7004254	0.9624069	0.8153530	0.6545094	0.9796417	0.1956585	0.9602434	1.0524029	0.9924164	0.6297317	0.8715828	0.7579467	0.7404026	1.0124241	0.9711459	0.2421257	0.9104443	0.0867289	0.5821000	0.9631907	0.9524349	0.9577414	0.9064409	0.7422143	1.0123240	0.5441780	0.9180880	0.6387681	0.8362481	0.9490252	1.0268442	1.0339399	0.6737742	1.0645375	0.7131643	0.3661819	0.5680520	0.2743178
0.9972361	0.5372197	1.0111406	0.2621392	1.0374239	0.5292318	0.8409165	0.6819186	1.0002038	0.9817026	0.9900414	0.9837701	0.6581444	1.0077102	0.9033284	0.5624665	0.9605925	0.1723345	1.0906288	0.9380768	1.0978685	0.5181404	1.0033211	0.8322836	0.7018024	0.7961349	1.0620501	0.5399398	0.4899744	0.1014060	0.5798496	0.9729013	0.9515601	0.7359749	0.8005343	0.6570063	1.0585763	0.5735954	0.9930312	0.5798893	0.7419023	0.9025054	0.9767565	0.9982666	0.7976034	1.0212215	0.7195949	0.3982467	0.6420166	0.3090488
0.9840642	0.4902572	0.9159690	0.2002654	1.0241930	0.5658402	0.9731471	0.8040856	1.0676822	1.0327236	0.9605782	0.9349711	0.6555710	0.9721900	0.8893292	0.6235239	0.9840191	0.1225145	1.0984502	1.0505510	0.9906724	0.5922217	0.9261788	0.8824565	0.6266229	0.9843794	0.9356353	0.5238856	0.9219142	0.0602652	0.6010944	0.9735625	1.0207565	0.8516967	0.8761290	0.6946945	1.0766830	0.5974849	0.8802405	0.6144985	0.6770544	1.0760124	0.9481327	0.9958858	0.7957587	0.9677694	0.7105530	0.4220416	0.5272230	0.3135961
