pspF	rstB	phoP	treR	rstA	mgtA	slyB	pagP	borD	ybjG	purH	phoQ	metB	hemL	pspE	treB	mgrB	argD	pspB	pspD	metL	purD	pspG	pspC	asr	yrbL	pspA	nagA	treC	dcuD	rutB	ygiA	malS	tolC	rutC	rutD	rutA	rutG	rutF	rutE	ygiC	fadL	ygiB	narJ	narI	narG	narH	csgE	csgF	acrB
0.8002467	0.5572099	0.8445719	0.2338269	0.9693713	0.4616463	1.0018609	0.6945683	0.9324713	1.0191957	0.9892753	0.9005137	0.5028173	1.0551993	0.6196837	0.5939572	0.9533422	0.2106505	0.8858212	0.9476379	0.9962741	0.3467137	0.9237909	0.6363964	0.7553235	0.8875979	0.8853646	0.5429898	0.9047365	0.1076801	0.5826391	1.0319467	0.8628259	0.6576740	0.6747329	0.4666897	1.0072789	0.4818587	1.0064277	0.5345568	0.5801688	0.9334109	0.9560574	0.9677826	0.5400931	1.0544786	0.6731503	0.3448644	0.5747811	0.2313105
1.0524645	0.6168757	0.7225981	0.2712520	0.9221010	0.4167567	0.8516582	0.6435326	0.9924512	1.1729030	0.9367165	0.9838564	0.4645011	1.0906104	0.9125279	0.3556389	0.9833249	0.2377783	0.9095413	0.9331709	0.9486346	0.2065978	0.9791561	0.8766866	0.6934453	0.8833382	0.8480815	0.4392900	1.0176578	0.1174180	0.5751680	0.9276116	0.8823568	0.7158120	0.6524553	0.3927019	1.0990062	0.5022562	0.9068196	0.3855092	0.5038392	1.0069809	1.0875468	1.0445101	0.5485405	0.9885423	0.7581357	0.3874299	0.4130104	0.3494082
1.0268663	0.4503354	0.9538645	0.2171302	1.1217368	0.6319753	0.9049090	0.7989111	0.8731744	0.9935462	0.9335309	0.9781748	0.6076754	1.0074040	0.7714906	0.3461057	1.0173934	0.0781057	1.0895634	1.0207777	1.0330962	0.5306189	0.9443555	0.6999319	0.8271699	0.8004542	0.9098168	0.4604248	0.9586260	0.0197385	0.5707915	0.8731030	0.8917687	0.8727202	0.7362358	0.7760513	0.9717973	0.5580858	0.8476365	0.6535961	0.8302178	0.9608320	0.8667188	0.9982513	0.8519117	1.0111463	0.7502373	0.2345692	0.6532565	0.3218765
1.0381989	0.6306444	1.0267130	0.2507847	0.8675517	0.4534977	0.8981695	0.5859739	1.0230319	1.0086686	0.9505668	0.9605327	0.6578765	0.9375419	0.8953303	0.4898739	0.8903594	0.2213385	0.9316228	1.0650715	0.9451687	0.7420060	0.8906543	0.9241239	0.8613453	0.8118253	0.9206412	0.5033225	0.2757299	0.1585567	0.5143114	0.9361888	0.8585174	0.7637085	0.9739206	0.5394357	1.0195627	0.5095678	0.9185451	0.6604887	0.7470067	1.0112314	0.9590590	0.9171245	0.6577975	0.9991905	0.6379095	0.3878650	0.3464878	0.0897892
1.0371521	0.3348165	0.6252829	0.1815683	1.0014163	0.6118050	0.9280480	0.5942979	1.1489175	1.0125198	0.9108530	0.8272163	0.5016683	1.0400172	0.9497980	0.4629640	0.7889235	0.1400607	1.0249905	0.9809360	1.0984826	0.1751498	0.8886841	0.8855159	0.8793862	0.6745266	0.9566385	0.2383024	1.1168997	0.1675178	0.4404487	1.0493672	0.6283773	0.6539462	0.5548324	0.4301197	0.9171342	0.3928263	0.8733994	0.3358910	0.5103991	0.9207447	1.0376477	1.0740016	0.8898131	1.1263028	0.7738785	0.3488505	0.6315476	0.1268580
0.9545399	0.4577679	0.8089936	0.1515332	1.0857535	0.8041988	0.9277236	0.5781091	1.0180418	0.9703440	0.9791171	0.8655967	0.5662217	0.9879219	0.7923304	0.5196591	1.0981783	0.1572598	1.0334769	0.9147234	1.0365262	0.3819599	0.9564663	0.8939226	0.7241568	0.8895420	1.0619339	0.4247934	1.0731741	0.1224572	0.6462327	1.0359088	0.9947989	0.8398005	0.6819769	0.7254362	1.0062360	0.4682956	1.0324082	0.5959690	0.6209374	1.0420461	1.0340166	1.0267645	0.6678870	1.1263939	0.7497739	0.2937029	0.2409320	0.3115967
1.0598831	0.4467910	0.9657230	0.1950379	1.0403107	0.5100697	0.9219806	0.7086030	0.9381202	0.9453798	0.9945551	0.9566103	0.6425120	0.9607343	0.8713502	0.4950074	0.9592351	0.0776632	0.9449955	1.0373018	0.9703747	0.5656258	0.9697014	0.6100416	0.8302604	0.9482921	0.9348591	0.5075087	1.1089948	0.0827023	0.6045392	0.9787437	1.0508859	0.8902238	0.6996764	0.7427787	0.9964993	0.5185916	0.9278424	0.6881176	0.8344670	0.8916307	0.9840028	0.8887048	0.6480668	1.0172626	0.9097363	0.4184394	0.3097155	0.3067800
1.0201216	0.5247197	0.9123883	0.1828977	1.0017516	0.6264600	0.9615465	0.7289150	0.9670837	0.9759104	0.9186130	0.9415957	0.8222291	0.9179557	0.8142477	0.4820835	0.8970184	0.1259494	0.9448475	1.0178729	1.0755575	0.4561961	0.9691409	0.7516560	0.7225095	0.9998126	0.9198275	0.5184778	0.9292013	0.0906519	0.5876343	0.9045474	0.9453101	0.7856865	0.7550229	0.6021398	1.0885313	0.6683486	0.9866155	0.5261004	0.7045303	0.9196757	0.9926606	1.0028541	0.7314158	0.9880827	0.8812741	0.2033867	0.5765880	0.1783492
0.7893773	0.5231765	0.9619510	0.0889092	1.1195849	0.6195037	0.8748871	0.6735864	0.9961377	1.0884349	1.0975699	0.9290337	0.6543159	1.0421825	0.7092860	0.6491686	0.9716772	0.1061756	1.0056663	0.8631870	1.0583319	0.5730628	0.9182988	0.8558318	0.7428864	0.8938803	0.8037081	0.8267914	0.5543476	0.0146494	0.5634822	0.9304101	0.8207605	0.9116385	0.8585926	0.7726347	0.8045482	0.4812868	0.9897774	0.6257516	0.7265882	1.1096703	0.9471272	1.1696676	0.8591891	1.0040437	0.8051175	0.2966757	0.5445682	0.2848760
0.8881216	0.6789344	0.9554702	0.2332826	0.9919368	0.6059463	0.9248252	0.6787353	1.0311330	0.9532208	0.8388729	1.0242083	0.5252353	0.9850930	0.7305065	0.6756815	0.9333901	0.1008725	0.8644953	0.9821721	0.9644116	0.5953246	0.9294035	0.7628943	0.6976862	0.9011807	1.0028856	0.5103055	0.9560686	0.1052280	0.6177923	0.9116926	0.8928757	0.7846984	0.8076979	0.7262256	1.0620034	0.6273509	0.9988732	0.8049357	0.7231904	0.9454640	0.9645443	0.9365262	0.6766087	0.9747469	0.5688008	0.5226993	0.5402586	0.1461021
